"taxon" "X" "Y"
"73" "Tamias_cinereicollis" -1277326.52862414 -589020.167829062
"74" "Tamias_cinereicollis" -1025837.20164891 -724754.294375247
"75" "Tamias_cinereicollis" -1331460.86596962 -476660.57621972
"76" "Tamias_cinereicollis" -1228684.25683605 -697333.640063767
"77" "Tamias_cinereicollis" -1140457.12490176 -610178.31597252
"78" "Tamias_cinereicollis" -945189.281310956 -782708.788244855
"79" "Tamias_cinereicollis" -1018631.36210959 -667091.327276257
"80" "Tamias_cinereicollis" -963298.690203086 -719690.641503935
"81" "Tamias_dorsalis" -1093670.71513033 108538.600780371
"82" "Tamias_dorsalis" -1039385.34263939 173173.066512499
"83" "Tamias_dorsalis" -1209208.47414532 -629928.128871117
"84" "Tamias_dorsalis" -1629062.93421139 -162800.112831089
"85" "Tamias_dorsalis" -1149916.86904746 -611601.933140916
"86" "Tamias_dorsalis" -1137362.83279873 -784015.653724162
"87" "Tamias_dorsalis" -1383126.48836449 -390337.618896133
"88" "Tamias_dorsalis" -1489602.60109945 -460563.788816449
"89" "Tamias_dorsalis" -1268732.74434036 -54458.9344091089
"90" "Tamias_dorsalis" -1539056.48563249 -44885.7713658269
"91" "Tamias_minimus" 207302.048700783 1714892.99817802
"92" "Tamias_minimus" -1822298.09153086 -44238.964622101
"93" "Tamias_minimus" -1099499.86785938 -463090.046485232
"94" "Tamias_minimus" -1489980.07494077 2815134.66004503
"95" "Tamias_minimus" 776575.124724012 1535186.99039981
"96" "Tamias_minimus" -1806342.77779786 3166451.65265929
"97" "Tamias_minimus" -1724540.71034989 3202594.17516217
"98" "Tamias_minimus" 633253.553956274 1432500.95539015
"99" "Tamias_minimus" 169747.664427365 1998873.94730356
"100" "Tamias_minimus" -1925714.7989936 2378275.26453243
"101" "Tamias_ochrogenys" -2211807.95632555 342590.290480937
"102" "Tamias_ochrogenys" -2187706.51643144 286823.154623367
"103" "Tamias_ochrogenys" -2204361.89953534 354724.84762344
"104" "Tamias_ochrogenys" -2202630.23409166 151094.691222575
"105" "Tamias_ochrogenys" -2209578.87160004 364972.89309207
"106" "Tamias_ochrogenys" -2222217.7543125 337156.672713266
"107" "Tamias_ochrogenys" -2200970.8707782 321097.604387035
"108" "Tamias_ochrogenys" -2219368.24525377 380648.299030767
"109" "Tamias_ochrogenys" -2211795.34061929 296601.728261402
"110" "Tamias_ochrogenys" -2203536.43691157 180162.475683744
"111" "Tamias_panamintinus" -1765090.30861791 -102378.504450536
"112" "Tamias_panamintinus" -1865170.43473331 -80736.2311696521
"113" "Tamias_panamintinus" -1769746.95526456 -263981.135019668
"114" "Tamias_panamintinus" -1826023.03872336 -35062.2112204188
"115" "Tamias_panamintinus" -1655555.33840096 -295007.155191477
"116" "Tamias_panamintinus" -1777065.7677622 -227607.105202879
"117" "Tamias_panamintinus" -1859830.54068139 -158561.713885863
"118" "Tamias_panamintinus" -1868783.98149299 -43003.2873702496
"119" "Tamias_panamintinus" -1814021.33555619 -4519.74413392233
"120" "Tamias_panamintinus" -1855659.72050844 -183065.670399594
"121" "Tamias_quadrimaculatus" -1994527.39531351 94233.5628664012
"122" "Tamias_quadrimaculatus" -1955411.50102584 231068.034154849
"123" "Tamias_quadrimaculatus" -1945024.95600173 92960.4346790257
"124" "Tamias_quadrimaculatus" -1941328.58841191 44723.3812289055
"125" "Tamias_quadrimaculatus" -1958362.63774205 -32398.7353643159
"126" "Tamias_quadrimaculatus" -1962729.64091053 62.4343398096535
"127" "Tamias_quadrimaculatus" -1940686.70508792 227214.758288154
"128" "Tamias_quadrimaculatus" -1935038.54199213 86019.6568070115
"129" "Tamias_quadrimaculatus" -1963103.13980386 133480.084158871
"130" "Tamias_quadrimaculatus" -1941872.01288985 15134.5168883337
"131" "Tamias_quadrivittatus" -778225.765521297 -168362.345880444
"132" "Tamias_quadrivittatus" -942812.721258525 -332472.715820347
"133" "Tamias_quadrivittatus" -690750.691261994 -436273.123898202
"134" "Tamias_quadrivittatus" -1131288.62565398 -115805.965920901
"135" "Tamias_quadrivittatus" -760839.779730163 -315019.625773759
"136" "Tamias_quadrivittatus" -766832.366556332 -369911.485475415
"137" "Tamias_quadrivittatus" -918595.61014298 -295413.10596438
"138" "Tamias_quadrivittatus" -1053587.58012233 -139382.760310523
"139" "Tamias_quadrivittatus" -710123.83273829 -290474.885256846
"140" "Tamias_quadrivittatus" -1088623.63722983 -212782.674701108
"141" "Tamias_ruficaudus" -1247669.40669153 1199930.58718914
"142" "Tamias_ruficaudus" -1392618.65945379 1059128.51615267
"143" "Tamias_ruficaudus" -1392282.46835066 878788.751343718
"144" "Tamias_ruficaudus" -1418358.65456586 1306175.33438793
"145" "Tamias_ruficaudus" -1370645.82439559 1316575.85394888
"146" "Tamias_ruficaudus" -1401876.78599394 898022.037246806
"147" "Tamias_ruficaudus" -1328786.07644799 947288.6016861
"148" "Tamias_ruficaudus" -1501682.0394187 1025778.71836785
"149" "Tamias_ruficaudus" -1451852.48311039 1247038.0306194
"150" "Tamias_ruficaudus" -1227188.44006876 863519.113463967
"151" "Tamias_rufus" -1251465.60019409 -296836.826019236
"152" "Tamias_rufus" -959812.371697127 45386.8398120042
"153" "Tamias_rufus" -1080357.33407003 -51373.0782706293
"154" "Tamias_rufus" -1159669.65073854 -265314.440839141
"155" "Tamias_rufus" -1162992.24831039 -201254.586273484
"156" "Tamias_rufus" -982756.421303436 151387.483586845
"157" "Tamias_rufus" -922773.31750557 -74120.1824948093
"158" "Tamias_rufus" -835290.136274148 13387.8932703554
"159" "Tamias_rufus" -1091443.28838687 -8055.61676929746
"160" "Tamias_rufus" -1217843.37423851 -183979.571099162
"161" "Tamias_senex" -1920352.68878652 85626.0871103751
"162" "Tamias_senex" -2121247.46161208 472799.108504958
"163" "Tamias_senex" -2169485.02077251 456167.151111611
"164" "Tamias_senex" -2147047.25406777 352440.570547324
"165" "Tamias_senex" -1934614.48342354 690673.050026737
"166" "Tamias_senex" -1914531.75668398 100301.296638367
"167" "Tamias_senex" -1901707.38194339 437599.067847837
"168" "Tamias_senex" -1969014.54146092 -22911.6013164023
"169" "Tamias_senex" -2126102.88802461 456596.12878642
"170" "Tamias_senex" -1959593.39535044 201212.738771842
"171" "Tamias_siskiyou" -2158975.54994774 562540.566853647
"172" "Tamias_siskiyou" -1992998.80022529 654831.373718287
"173" "Tamias_siskiyou" -2166967.54175021 526501.505732439
"174" "Tamias_siskiyou" -2027882.68322377 525217.784630582
"175" "Tamias_siskiyou" -2012376.25256036 545712.836151841
"176" "Tamias_siskiyou" -1932653.48561599 771469.130438659
"177" "Tamias_siskiyou" -1979053.35528815 667541.707064655
"178" "Tamias_siskiyou" -1930225.84342757 741401.778215084
"179" "Tamias_siskiyou" -2108898.26952604 559977.696026874
"180" "Tamias_siskiyou" -2119395.51152015 599935.080798763
"181" "Tamias_sonomae" -1975315.34669128 397913.698856797
"182" "Tamias_sonomae" -2092406.81035762 411313.876398716
"183" "Tamias_sonomae" -2162414.13197127 317120.666748723
"184" "Tamias_sonomae" -2158884.46771843 292824.769361277
"185" "Tamias_sonomae" -2200115.50160209 223288.90954747
"186" "Tamias_sonomae" -2123447.31132074 474452.589919929
"187" "Tamias_sonomae" -2121571.9853694 142986.680969534
"188" "Tamias_sonomae" -2089737.9428997 386195.875236024
"189" "Tamias_sonomae" -2196801.79784254 297902.568012073
"190" "Tamias_sonomae" -2182443.37141209 98202.6596725748
"191" "Tamias_speciosus" -2031192.41567502 302760.524021981
"192" "Tamias_speciosus" -1869362.18994973 -147049.327189604
"193" "Tamias_speciosus" -1882820.96126112 -342560.269068938
"194" "Tamias_speciosus" -1868536.20537191 -137742.741131707
"195" "Tamias_speciosus" -1857885.58261922 -267906.340504186
"196" "Tamias_speciosus" -1881249.24714666 -242520.465455925
"197" "Tamias_speciosus" -1870947.99470401 -160529.58972876
"198" "Tamias_speciosus" -2019727.43451577 164751.057253241
"199" "Tamias_speciosus" -2027625.07163637 186586.754611665
"200" "Tamias_speciosus" -2008746.64717272 208096.651978651
"201" "Tamias_striatus" 210673.157796482 -353775.909458301
"202" "Tamias_striatus" 444717.222122349 -159593.971412785
"203" "Tamias_striatus" 2047562.74520176 915647.214895707
"204" "Tamias_striatus" 859716.369710993 1102442.14828478
"205" "Tamias_striatus" 94194.0713412537 404483.966491328
"206" "Tamias_striatus" 1377572.90668001 68241.9865964293
"207" "Tamias_striatus" 805749.617131261 -396727.519692574
"208" "Tamias_striatus" 450656.659019258 -406353.471383254
"209" "Tamias_striatus" 645777.957795047 -144466.135476156
"210" "Tamias_striatus" 1092290.90286079 -557931.935384089
"211" "Tamias_townsendii" -1862214.94019163 1011191.56087934
"212" "Tamias_townsendii" -1813403.28098623 1043709.22449151
"213" "Tamias_townsendii" -1761704.32432812 1271442.23840557
"214" "Tamias_townsendii" -1962722.13423442 865777.804734113
"215" "Tamias_townsendii" -2019037.17450858 891562.756747658
"216" "Tamias_townsendii" -1825125.96418896 1012665.0223703
"217" "Tamias_townsendii" -1919520.3348962 840389.230240302
"218" "Tamias_townsendii" -2039825.50476083 794184.065653313
"219" "Tamias_townsendii" -1744669.64167675 1269461.88289193
"220" "Tamias_townsendii" -1829936.37270029 899908.648483521
"221" "Tamias_umbrinus" -1756762.9224074 -14289.7356284441
"222" "Tamias_umbrinus" -801418.098638604 -18516.9266844523
"223" "Tamias_umbrinus" -1357826.64275649 -158885.467892771
"224" "Tamias_umbrinus" -1077541.61040564 544996.438561586
"225" "Tamias_umbrinus" -1682750.41782711 -12587.9963451108
"226" "Tamias_umbrinus" -1687598.56858298 8490.50311311701
"227" "Tamias_umbrinus" -1628262.62816272 -58193.3613516128
"228" "Tamias_umbrinus" -1109059.26992485 533749.146113138
"229" "Tamias_umbrinus" -1466226.82248654 142347.626406174
"230" "Tamias_umbrinus" -1050848.9572967 413787.166049986
